S#,Date,Time,Location,City,Province,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children  ,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F)
197,"Sunday, November 28, 2010",,Hasaan Khel- 30 km east of Miran Shah,North Waziristan,FATA,,,3,4,,,3,4,,,N,it targeted a vehicle travling in northwestern,,http://geo.tv/11-28-2010/74997.htm  http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1101109047&Issue=NP_LHE&Date=20101129  http://www.cnn.com/2010/WORLD/asiapcf/11/28/pakistan.drone.strike/  Express Tribune 28-Nov-2010/PBC-EXT-28-Nov-2010,70.1455,32.9746,6.815,44.267
198,"Monday, December 06, 2010",,Khushali turikhel,North Waziristan,FATA,,,5,7,,,5,7,,3,N,targeted a house and a vehicle,,http://geo.tv/12-6-2010/75429.htm  http://www.cnn.com/2010/WORLD/asiapcf/12/06/pakistan.drone.strike/  http://www.bbc.co.uk/news/world-south-asia-11933649  Daily Jang 06-Dec-2010/PBC-DJN-06-Dec-2010  Dawn News 06-Dec-2010/PBC-DWN-06-Dec-2010,70.1455,32.9746,5.08,41.144
199,"Friday, December 10, 2010",17:45,Khadar Khel,North Waziristan,FATA,,,0,4,,,,4,,,N,targeted a car,,http://edition.cnn.com/2010/WORLD/asiapcf/12/10/pakistan.drone.strike/   Daily Jang 10-Dec-2010/PBC-DJN-10-Dec-2010  Dawn News 10-Dec-2010/PBC-DWN-10-Dec-2010  Express Tribune 10-Dec-2010/PBC-EXT-10-Dec-2010,70.1455,32.9746,6.135,43.043
200,"Tuesday, December 14, 2010",,Spalga village- 15 km south of Miranshah,North Waziristan,FATA,,,0,4,,,,4,,,N,targeted a car,,http://geo.tv/12-14-2010/75792.htm  http://tribune.com.pk/story/89928/drone-strike-kills-4-in-north-waziristan-5/  http://news.yahoo.com/s/ap/20101214/ap_on_re_as/as_pakistan,70.1455,32.9746,7.24,45.032
201,"Thursday, December 16, 2010",,tirah valley ,Khyber Agency,FATA,,2,0,5,,,,7,,,N,drone attacked Tirah valley,swati taliban commander was also killed,http://www.dailytimes.com.pk/default.asp?page=2010\12\17\story_17-12-2010_pg7_3  http://news.yahoo.com/s/ap/20101216/ap_on_re_as/as_pakistan  http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=21250&Cat=2  Daily Jang 16-Dec-2010/PBC-DJN-16-Dec-2010,71.1481,34.0983,10.745,51.341
202,"Friday, December 17, 2010",,tirah valley ,Khyber Agency,FATA,,,21,50,,,21,50,,,N,targeted a training center,attacks are increased under the presidency of OBAMA,http://edition.cnn.com/2010/WORLD/asiapcf/12/17/pakistan.drone.strikes/?hpt=T2  http://www.bbc.co.uk/news/world-south-asia-12015959  Dawn News 17-Dec-2010/PBC-DWN-17-Dec-2010  Express Tribune 17-Dec-2010/PBC-EXT-17-Dec-2010,71.1481,34.0983,9.22,48.596
203,"Monday, December 27, 2010",10:00,shera tala/and  Machikhel,North Waziristan,FATA,,,18,25,,,18,25,4,7,N,six missiles were fired at a vehicle,there were reports that zahid mandev and qari barkatullah may be killed,http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=22771&Cat=7&dt=12/29/2010  http://www.bbc.co.uk/news/world-south-asia-12081937  http://news.yahoo.com/s/ap/20101227/ap_on_re_as/as_pakistan  Dawn News 27-Dec-2010/PBC-DWN-27-Dec-2010  Express Tribune 27-Dec-2010/PBC-EXT-27-Dec-2010  Daily Jang 27-Dec-2010/PBC-DJN-27-Dec-2010,70.1455,32.9746,3.085,37.553
204,"Tuesday, December 28, 2010",10:00,Ghulam Khan ,North Waziristan,FATA,,,5,22,,,5,22,,8,N,2 vehicles were targeted,it was said that these people were from haqqaani group,http://geo.tv/12-28-2010/76479.htm  http://articles.cnn.com/2010-12-28/world/pakistan.drone.strike_1_drone-strikes-drone-attack-tribal-region?_s=PM:WORLD  http://tribune.com.pk/story/95899/drone-strike-kills-five-militants/  http://news.yahoo.com/s/ap/20101228/ap_on_re_as/as_pakistan  Dawn News 28-Dec-2010/PBC-DWN-28-Dec-2010  Express Tribune 28-Dec-2010/PBC-EXT-28-Dec-2010  Daily Jang 28-Dec-2010/PBC-DJN-28-Dec-2010,70.1455,32.9746,2.635,36.743
205,"Friday, December 31, 2010",23:30,Ghulam Khan ,North Waziristan,FATA,,,3,4,,,3,4,,8,N,attacks targeted a vehicle,,http://geo.tv/12-31-2010/76625.htm  http://www.cnn.com/2010/WORLD/asiapcf/12/31/pakistan.drone.strike/,70.1455,32.9746,4.345,39.821
206,"Saturday, January 01, 2011",7:30,Madi Khel,North Waziristan,FATA,,,6,9,,,6,9,,5,N,vehicle and militants compound was targeted,,http://old.thenews.com.pk/02-01-2011/ethenews/t-3067.htm   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/02-Jan-2011/Drones-kill-19-on-first-day-of-2011  http://www.deccanherald.com/content/125365/suspected-us-drone-strike-kills.html  Daily Jang 01-Jan-2011/PBC-DJN-01-Jan-2011,70.1455,32.9746,4.69,40.442
207,"Saturday, January 01, 2011",,Gharghuski village nera Naurak- in mirali,North Waziristan,FATA,,,5,11,,,5,11,2,8,N,,,http://old.thenews.com.pk/02-01-2011/ethenews/t-3067.htm   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/02-Jan-2011/Drones-kill-19-on-first-day-of-2011  Daily Jang 01-Jan-2011/PBC-DJN-01-Jan-2011,70.1455,32.9746,4.69,40.442
208,"Saturday, January 01, 2011",,Mohammad Khel,North Waziristan,FATA,,,4,5,,,4,5,,,N,,,http://old.thenews.com.pk/02-01-2011/ethenews/t-3067.htm  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/02-Jan-2011/Drones-kill-19-on-first-day-of-2011  Daily Jang 01-Jan-2011/PBC-DJN-01-Jan-2011,70.1455,32.9746,4.69,40.442
209,"Friday, January 07, 2011",,DattaKhel,North Waziristan,FATA,,,4,6,,,4,6,,4,N,Believed to haven alqaida and taliban,Residential compound and car have been targeted,http://www.dawn.com/2011/01/07/four-killed-in-north-waziristan-drone-strike-2.html  http://geo.tv/1-7-2011/76925.htm  http://www.polijam.com/index.php?option=com_content&view=article&id=49206:report-drone-strike-in-pakistan-kills-4&catid=54:world&Itemid=53  http://www.presstv.ir/detail/159045.html  http://edition.cnn.com/2011/WORLD/asiapcf/01/07/pakistan.drone.strike/  Daily Jang 07-Jan-2011/PBC-DJN-07-Jan-2011,70.1455,32.9746,5.225,41.405
210,"Wednesday, January 12, 2011",9:30,Haider Khel- Mir Ali,North Waziristan,FATA,,,1,3,,3,3,4,,2,N,House owener was tribsman named azfar,there was haven alqaida and taliban,http://geo.tv/1-12-2011/77127.htm  http://edition.cnn.com/2011/WORLD/asiapcf/01/12/pakistan.drone.attack/  http://www.bbc.co.uk/news/world-south-asia-12168901  Dawn News 12-Jan-2011/PBC-DWN-12-Jan-2011  Express Tribune 12-Jan-2011/PBC-EXT-12-Jan-2011  Daily Jang 12-Jan-2011/PBC-DJN-12-Jan-2011,70.1455,32.9746,5.12,41.216
211,"Tuesday, January 18, 2011",23:00,DattaKhel,North Waziristan,FATA,,,4,7,,,4,7,,3,N,Dattakhel is know to be dominated by fighters from group lead by hafiz gul bahadar,2 missiles were fired on a house,http://www.armytimes.com/news/2011/01/ap-pakistan-says-missile-strike-kills-4-militants-011811/  http://news.in.msn.com/international/article.aspx?cp-documentid=4814920  Dawn News 18-Jan-2011/PBC-DWN-18-Jan-2011  Express Tribune 18-Jan-2011/PBC-EXT-18-Jan-2011  Daily Jang 18-Jan-2011/PBC-DJN-18-Jan-2011,70.1455,32.9746,3.15,37.67
212,"Sunday, January 23, 2011",,Datta khel,North Waziristan,FATA,,,3,4,,,3,4,,,N,Vehicle and outside house was destroyed,most of the localbusiness were shut down due to protest,http://geo.tv/1-23-2011/77547.htm  http://edition.cnn.com/2011/WORLD/asiapcf/01/23/pakistan.drone.strike/  Dawn News 23-Jan-2011/PBC-DWN-23-Jan-2011  Express Tribune 23-Jan-2011/PBC-EXT-23-Jan-2011,70.1455,32.9746,2.275,36.095
213,"Sunday, January 23, 2011",,Datta Khel,North Waziristan,FATA,,,2,3,,,2,3,,,,,,http://geo.tv/1-23-2011/77547.htm  http://edition.cnn.com/2011/WORLD/asiapcf/01/23/pakistan.drone.strike/  Dawn News 23-Jan-2011/PBC-DWN-23-Jan-2011  Express Tribune 23-Jan-2011/PBC-EXT-23-Jan-2011,70.1455,32.9746,2.275,36.095
214,"Sunday, January 23, 2011",,mando khel,North Waziristan,FATA,,,,6,,,,6,,3,,,,http://edition.cnn.com/2011/WORLD/asiapcf/01/23/pakistan.drone.strike/  Dawn News 23-Jan-2011/PBC-DWN-23-Jan-2011  Express Tribune 23-Jan-2011/PBC-EXT-23-Jan-2011,70.1455,32.9746,2.275,36.095
215,"Sunday, February 20, 2011",2:00,Azam warsak,South Waziristan,FATA,,,5,6,,,5,6,,,N,Target was a house used by militants,it was the first drone strike after the US consular Raymond Davis was arrested for allegedly killing two Pakistani's in Lahore,Dawn News 20-Feb-2011/PBC-DWN-20-Feb-2011  Express Tribune 20-Feb-2011/PBC-EXT-20-Feb-2011  Daily Jang 20-Feb-2011/PBC-DJN-20-Feb-2011,69.9,33.0333,1.835,35.303
216,"Monday, February 21, 2011",23:15,Tappi village- Miranshah,North Waziristan,FATA,,,5,10,,,5,10,,4,N,strike targeted militant compound,,Dawn News 21-Feb-2011/PBC-DWN-21-Feb-2011  Express Tribune 21-Feb-2011/PBC-EXT-21-Feb-2011,70.1455,32.9746,1.79,35.222
217,"Monday, February 21, 2011",,azamwarsak- west of wana,South Waziristan,FATA,,,0,7,,,,7,,,N,missile targeted militant training center,,The New York Times 21-Feb-2011/PBC-TNT-21-Feb-2011,69.9,33.0333,1.475,34.655
218,"Thursday, February 24, 2011",,Danday Darpa Khel- 30km west of miranshah,North Waziristan,FATA,,,0,0,,2,,2,,,N,missile struck the car,Turkmens militants were traveling in the vehicle,http://www.bbc.co.uk/news/world-south-asia-12571875,70.1455,32.9746,3.325,37.985
219,"Thursday, February 24, 2011",,Data khel,North Waziristan,FATA,,,3,5,,,3,5,,,N,missile hit the hideout of militants,house struck was said to be used by Taliban militants,http://www.bbc.co.uk/news/world-south-asia-12571875  http://edition.cnn.com/2011/WORLD/asiapcf/02/24/pakistan.drone.attack/?hpt=T2,70.1455,32.9746,3.325,37.985
220,"Tuesday, March 08, 2011",12:00,Landi Dag area- 7 km south of Wana bazaar,South Waziristan,FATA,,,0,5,,,,5,,2,N,missile destroyed two rooms of the house,killed were militants,Dawn News 08-Mar-2011/PBC-DWN-08-Mar-2011,69.9,33.0333,4.665,40.397
221,"Tuesday, March 08, 2011",,Ismailkhel village,North Waziristan,FATA,,,0,5,,,,5,,2,N,missiles were fired on a house,terroristes were killed,Dawn News 08-Mar-2011/PBC-DWN-08-Mar-2011,70.1455,32.9746,5.21,41.378
222,"Friday, March 11, 2011",,Khaisor town- 30km north of Miranshah,North Waziristan,FATA,,,0,3,,,,3,,,N,missile hit the vehicle,militants were in the vehicle,http://tribune.com.pk/story/131121/drone-strike-kills-five-militants-officials/  Dawn News 11-Mar-2011/PBC-DWN-11-Mar-2011  Daily Times 11-Mar-2011/PBC-DTY-11-Mar-2011,70.1455,32.9746,9.12,48.416
223,"Friday, March 11, 2011",,Khaisor town- 30km north of Miranshah,North Waziristan,FATA,,,2,3,,,2,3,,,N,,missile hit the ppeople busy in rescue work after previous attack,http://tribune.com.pk/story/131121/drone-strike-kills-five-militants-officials/  Dawn News 11-Mar-2011/PBC-DWN-11-Mar-2011  Daily Times 11-Mar-2011/PBC-DTY-11-Mar-2011,70.1455,32.9746,9.12,48.416
224,"Sunday, March 13, 2011",,Esha check post- spalga village- 15km northwest of Miranshah,North Waziristan,FATA,,,4,6,,,4,6,,5,N,missiles hit a car ,, Dawn News 13-Mar-2011/PBC-DWN-13-Mar-2011   Express Tribune 13-Mar-2011/PBC-EXT-13-Mar-2011,70.1455,32.9746,13.235,55.823
225,"Sunday, March 13, 2011",,Azamwarsak-Pray kari village,South Waziristan,FATA,,,0,0,,,,0,,0,N,,, Dawn News 13-Mar-2011/PBC-DWN-13-Mar-2011   Express Tribune 13-Mar-2011/PBC-EXT-13-Mar-2011,69.9,33.0333,13.28,55.904
226,"Monday, March 14, 2011",7:30,Tappi village- miranshah razmak road,North Waziristan,FATA,,,3,5,,,3,5,0,0,N,missile hit the car,, Dawn News 14-Mar-2011/PBC-DWN-14-Mar-2011   Express Tribune 14-Mar-2011/PBC-EXT-14-Mar-2011   Daily Jang 14-Mar-2011/PBC-DJN-14-Mar-2011,70.1455,32.9746,15.48,59.864
227,"Wednesday, March 16, 2011",,Amboor shega area in Dattakhel tehsil,North Waziristan,FATA,,,5,6,,,5,6,,0,N,missile hit the facility set up at amboor shaga,, Dawn News 16-Mar-2011/PBC-DWN-16-Mar-2011   Express Tribune 16-Mar-2011/PBC-EXT-16-Mar-2011,70.1455,32.9746,15.56,60.008
228,"Thursday, March 17, 2011",,Nevi Adda Shega area,North Waziristan,FATA,,,40,41,,,40,41,8,15,Y,missile were fired when jirga was in progress,Malik's and Taliban were among dead. Taliban's senior commander Sharabat was leading the jirga, Dawn News 17-Mar-2011/PBC-DWN-17-Mar-2011   Express Tribune 17-Mar-2011/PBC-EXT-17-Mar-2011   Daily Jang 17-Mar-2011/PBC-DJN-17-Mar-2011,70.1455,32.9746,15.38,59.684
229,"Wednesday, April 13, 2011",,near Angoor adda,South Waziristan,FATA,6,,1,6,,,6,7,2,4,N,Missile was fired on a car and motorbike,Only a day after a four hour meeting between the heads of ISI and the central intellegence agency of the US held to reset strained ties between the two agencies,Dawn News 13-Apr-2011/PBC-DWN-13-Apr-2011  Daily Jang 13-Apr-2011/PBC-DJN-13-Apr-2011,69.9,33.0333,14.78,58.604
230,"Friday, April 22, 2011",5:45,Spinam- mirali tall road- Hassan khel area,North Waziristan,FATA,,,23,25,,,23,25,5,8,Y,missile was fired on a compound,, Dawn News 22-Apr-2011/PBC-DWN-22-Apr-2011   Express Tribune 22-Apr-2011/PBC-EXT-22-Apr-2011   Daily Jang 22-Apr-2011/PBC-DJN-22-Apr-2011  International Herald Tribune 22-Apr-2011/PBC-IHT-22-Apr-2011,70.1455,32.9746,17.75,63.95
231,"Friday, May 06, 2011",,Data khel tehsil- Dowatoui area,North Waziristan,FATA,,,13,18,,,13,18,,4,N,Missile was fired on a compound and a restaurant nearby- whereas a car outside the restaurant was also destroyed,it was the first drone attack since US NAVY  SEAL's killed Al Qaeda chief Usama Bin Ladin. The drone attack occurred hours after the strong worded ISPR statement warned the US of Dire consequences in case Pakistan's sovereignty os violated again. , Dawn News 06-May-2011/PBC-DWN-06-May-2011   Express Tribune 06-May-2011/PBC-EXT-06-May-2011   Daily Jang 06-May-2011/PBC-DJN-06-May-2011,70.1455,32.9746,19.87,67.766
232,"Tuesday, May 10, 2011",,Angoor Adda,South Waziristan,FATA,,,2,3,,3,3,5,,7,N,Missiles were fired at a pick-up going from Bagher to sra Qala- near Angoor adda,it was the second attack after the death of Usama Bin Ladin,Dawn News 10-May-2011/PBC-DWN-10-May-2011   Daily Jang 10-May-2011/PBC-DJN-10-May-2011,69.9,33.0333,21.745,71.141
233,"Thursday, May 12, 2011",11:00,Paikhel Mazdok area- Dattakhel Tehsil,North Waziristan,FATA,,,,8,,,,8,,,N,Missile was fired on a Double cabin vehicle heading towards Mazdek area,The attack coincided with US secretary of state Hillary Clinton's designation of Badruddin Haqqani network- as terrorist. , Dawn News 12-May-2011/PBC-DWN-12-May-2011   Express Tribune 12-May-2011/PBC-EXT-12-May-2011   Daily Jang 12-May-2011/PBC-DJN-12-May-2011,70.1455,32.9746,21.975,71.555
234,"Friday, May 13, 2011",,Kharkamar area- 40km west of miramshsh,North Waziristan,FATA,,,3,6,,,3,6,,,,,, Dawn News 13-May-2011/PBC-DWN-13-May-2011   Express Tribune 13-May-2011/PBC-EXT-13-May-2011   Daily Jang 13-May-2011/PBC-DJN-13-May-2011,70.1455,32.9746,20.5,68.9
235,"Monday, May 16, 2011",,Khoshi Torikhel area of Tehsil Mirali,North Waziristan,FATA,,,,6,,,,6,,,N,Us drone fired missiles on a school,The attacks came three days after the govt had threatened to stop supplies of Nato and Coslition forces in Afghanistan in the event of such strikes taking place in futue, Dawn News 16-May-2011/PBC-DWN-16-May-2011,70.1455,32.9746,24.33,75.794
236,"Monday, May 16, 2011",,Marki Killey area,North Waziristan,FATA,,,,4,,,,4,,,N,second attcak on the same day was on a vehicle,, Dawn News 16-May-2011/PBC-DWN-16-May-2011,70.1455,32.9746,24.33,75.794
237,"Friday, May 20, 2011",18:00,Sarbr area- Razmak miranshah road- near Esha check post,North Waziristan,FATA,,,,6,,,,6,,,N,drone was fired on a vehicle going from Miranshah to Spelga village,, Dawn News 20-May-2011/PBC-DWN-20-May-2011   Daily Jang 20-May-2011/PBC-DJN-20-May-2011,70.1455,32.9746,24.59,76.262
238,"Monday, May 23, 2011",,machikhel area- near Mirali,North Waziristan,FATA,,,,7,,,,7,,,N,four missiles hit the vehicle,, Dawn News 23-May-2011/PBC-DWN-23-May-2011   Express Tribune 23-May-2011/PBC-EXT-23-May-2011   Daily Jang 23-May-2011/PBC-DJN-23-May-2011,70.1455,32.9746,23.49,74.282
239,"Friday, June 03, 2011",23:45,Ghwakhwa area- 10km west of wana,South Waziristan,FATA,,,,5,,,,5,,,N,Missile targeted a compound of terrorists ,Military launched an operation at this place two years ago., Daily Times 3-Jun-2011/PBC-DTY-3-Jun-2011   Al-Jazeera 3-Jun-2011/PBC-AJZ-3-Jun-2011,69.9,33.0333,20.72,69.296
240,"Monday, June 06, 2011",,Shalam Raghzai 10 km northwest of wana,South Waziristan,FATA,,,,,,,7,8,,2,,,,http://www.dawn.com/2011/06/06/us-missile-strike-kills-6-militants-in-pakistan.html  http://tribune.com.pk/story/183348/drone-attack-in-south-waziristan-kills-7/  http://nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/06-Jun-2011/Three-consecutive-drone-strikes-kill-23-people-in-South-Waziristan,69.9,33.0333,24.755,76.559
241,"Monday, June 06, 2011",,Wach Dana- 12 km northwest of wana,South Waziristan,FATA,,,,,,,8,10,,3,,,,http://www.dawn.com/2011/06/06/us-missile-strike-kills-6-militants-in-pakistan.html  http://tribune.com.pk/story/183348/drone-attack-in-south-waziristan-kills-7/  http://nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/06-Jun-2011/Three-consecutive-drone-strikes-kill-23-people-in-South-Waziristan,69.9,33.0333,24.755,76.559
242,"Monday, June 06, 2011",,Dare nishtar in shwal,South Waziristan,FATA,,,,,,,3,5,,,,,,http://www.dawn.com/2011/06/06/us-missile-strike-kills-6-militants-in-pakistan.html  http://tribune.com.pk/story/183348/drone-attack-in-south-waziristan-kills-7/  http://nation.com.pk/pakistan-news-newspaper-daily-english-online/Politics/06-Jun-2011/Three-consecutive-drone-strikes-kill-23-people-in-South-Waziristan,69.9,33.0333,24.755,76.559
243,"Wednesday, June 08, 2011",,Shwal Tehsil- Zoi narry area,North Waziristan,FATA,,,23,24,,,23,24,,,N,Missile hit a compound,Militants of Hafiz gul bahadur group- associated with Haqqani network- was the main target. Local residents described the compound as a major militants training center., Dawn News 08-Jun-2011/PBC-DWN-08-Jun-2011   Express Tribune 08-Jun-2011/PBC-EXT-08-Jun-2011,70.1455,32.9746,26.5,79.7
244,"Wednesday, June 15, 2011",,Wana,South Waziristan,FATA,,,,7,,,,7,,,N,Missile hit a compound,Compound belonged to a group headed by Mulvi Nazir that crosses the afghan border to attack US troops in Afghanistan.,Express Tribune 15-Jun-2011/PBC-EXT-15-Jun-2011,69.9,33.0333,26.5,79.7
245,"Wednesday, June 15, 2011",,Wana,South Waziristan,FATA,,,3,4,,,3,4,,,N,Missile hit a car on road side near wana,attack took place close to where Pak officials said a similar strike likely killed Al-Qaeeda commander Ilyas Kashmiri earlier this month. ,Express Tribune 15-Jun-2011/PBC-EXT-15-Jun-2011  AFP 15-Jun-2011/PBC-AFP-15-Jun-2011,69.9,33.0333,26.5,79.7
246,"Wednesday, June 15, 2011",,Tappi village- 10 km east of miranshah,North Waziristan,FATA,,,4,8,,,4,8,,,N,Missile hit vehicle,,AFP 15-Jun-2011/PBC-AFP-15-Jun-2011   Dawn News 15-Jun-2011/PBC-DWN-15-Jun-2011  Daily Jang 15-Jun-2011/PBC-DJN-15-Jun-2011,70.1455,32.9746,26.675,80.015
247,"Monday, June 20, 2011",,Khrdand area,Lower Kurram Agency,FATA,,,,3,,9,11,12,,8,N,Missile hit a compound and vehicle,This was the first drone attack carried out outside the north and south waziristan this year. Foreigners died were afghan. And a militant commander from Khost province of Afghanistan was among dead.,Dawn News 20-Jun-2011/PBC-DWN-20-Jun-2011  Daily Jang 20-Jun-2011/PBC-DJN-20-Jun-2011  Express Tribune 20-Jun-2011/PBC-EXT-20-Jun-2011,69.9667,33.8167,27.95,82.31
248,"Monday, June 27, 2011",,Ghalmandi Panga- Bray Nishtar area near the border with Afghanistan and North Waziristan,North Waziristan,FATA,,,3,8,,,3,8,,2,N,Missile targeted a compound of terrorists ,Compound was being used by local militants afiliated with Hakimullah Mehsud's TTP  Group,http://www.reuters.com/article/2011/06/27/us-pakistan-violence-idUSTRE75Q52L20110627  http://www.bbc.co.uk/news/world-south-asia-13938461  http://edition.cnn.com/2011/WORLD/asiapcf/06/27/pakistan.drone.strike/,70.1455,32.9746,26.975,80.555
249,"Monday, June 27, 2011",,Mantoi area- 40 km north-west of Miranshah- South Waziristan,South Waziristan,FATA,,,12,14,,,12,14,,,N,Drone fired a missile on vehicle,,http://tribune.com.pk/story/197378/us-drone-attack-kills-six-in-s-waziristan/  http://www.dawn.com/2011/06/28/us-drones-strikes-kill-21-in-south-waziristan.html  http://www.google.com/hostednews/afp/article/ALeqM5iAAOcyO1H7zv0jjzhiaWNBob7Vnw?docId=CNG.3963d77bb5abed477d86934d03b2763e.661,69.9,33.0333,26.935,80.483
250,"Tuesday, July 05, 2011",,Guest house in Mirali- about 25 KM east of miranshah,North Waziristan,FATA,,,3,4,,,3,4,,5,N,Drone was fired on  Guest house,,http://www.dailytimes.com.pk/default.asp?page=2011\07\06\story_6-7-2011_pg7_8  http://tribune.com.pk/story/203372/six-suspected-militants-killed-in-n-waziristan-drone-strike/  http://edition.cnn.com/2011/WORLD/asiapcf/07/05/paristan.drone.strike/,70.1455,32.9746,24.455,76.019
251,"Monday, July 11, 2011",2:00,Gorwaik area of dattakhel town,North Waziristan,FATA,,,10,12,,,10,12,,6,N,Drone was fired on a compound and vehicle,,http://www.google.com/hostednews/afp/article/ALeqM5j0BcLLmRUaHLiyD834nn6vZAfdhg?docId=CNG.30b3c946c2c894e47045f723d8b684af.391  Express Tribune 11-Jul-2011/PBC-EXT-11-Jul-2011   Daily Times 11-Jul-2011/PBC-DTY-11-Jul-2011,70.1455,32.9746,25,77
252,"Tuesday, July 12, 2011",,Malik shahi village in Birmal Tehsil,South Waziristan,FATA,,,5,13,,,5,13,,,N,Drone fired missiles at suspected hideouts,,http://edition.cnn.com/2011/WORLD/asiapcf/07/12/pakistan.drone.strike/              http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=7377&Cat=13&dt=7/13/2011                 http://www.dailytimes.com.pk/default.asp?page=2011\07\13\story_13-7-2011_pg1_4,69.9,33.0333,25.39,77.702
253,"Tuesday, July 12, 2011",,DreNishter Area- shawal valley,North Waziristan,FATA,,,8,16,,,8,16,,,N,Drone hit a house,,http://edition.cnn.com/2011/WORLD/asiapcf/07/12/pakistan.drone.strike/          http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=7377&Cat=13&dt=7/13/2011             http://www.dailytimes.com.pk/default.asp?page=2011\07\13\story_13-7-2011_pg1_4,70.1455,32.9746,25.4,77.72
254,"Tuesday, July 12, 2011",,Neway adda village of Dattakhel,North Waziristan,FATA,,,1,3,,,1,3,,,N,Drone hit a car,,http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=7377&Cat=13&dt=7/13/2011            http://www.dailytimes.com.pk/default.asp?page=2011\07\13\story_13-7-2011_pg1_4,70.1455,32.9746,25.4,77.72
255,"Monday, August 01, 2011",,Azamwarsak,South Waziristan,FATA,,,4,6,,,4,6,,,N,Drone hit a vehicle,,http://www.dawn.com/2011/08/01/three-feared-dead-in-south-waziristan-drone-strike.html  http://www.dailytimes.com.pk/default.asp?page=2011\08\02\story_2-8-2011_pg7_5  http://articles.cnn.com/2011-08-01/world/pakistan.drone.strike_1_drone-strike-south-waziristan-intelligence-,69.9,33.0333,24.605,76.289
256,"Tuesday, August 02, 2011",,Qutub Khel village- 5km  east of miranshah,North Waziristan,FATA,,,,4,,,,4,,,N,Drone targeted a vehicle,,http://www.dailytimes.com.pk/default.asp?page=2011\08\03\story_3-8-2011_pg1_3  http://www.dawn.com/2011/08/02/us-missile-strike-kills-four-in-north-waziristan.html  http://tribune.com.pk/story/222869/us-drone-strike-kills-four-in-n-waziristan/,70.1455,32.9746,25.725,78.305
257,"Wednesday, August 10, 2011",,North western tribal belt along the afghan border,North Waziristan,FATA,,,,,,21,18,21,,,N,two missiles destroyed a compound and a vehicle,,http://www.guardian.co.uk/world/2011/aug/10/us-drone-hits-pakistan-taliban  http://www.dawn.com/2011/08/10/us-drone-strike-kills-seven-in-north-waziristan-2.html  http://www.dailytimes.com.pk/default.asp?page=2011\08\11\story_11-8-2011_pg1_4,70.1455,32.9746,25.14,77.252
258,"Tuesday, August 16, 2011",,Miranshah Market,North Waziristan,FATA,,,,,,,,4,,,Y,Drone fired two missiles hitting a compound and a vehicle,US says the region provoides sanctuary to al-Qaeda and Taliban insurgents who are involved in attacks on Nato forces in Afghanistan,http://www.bbc.co.uk/news/world-south-asia-14539167  http://www.thenews.com.pk/NewsDetail.aspx?ID=20816&title=US-drone-strike-kills-four-in-NWA  http://www.dailytimes.com.pk/default.asp?page=2011\08\17\story_17-8-2011_pg1_5,70.1455,32.9746,22.96,73.328
259,"Friday, August 19, 2011",,Sheen Warsik in South Waziristan,South Waziristan,FATA,,,,,,,2,4,,,N,,,http://www.cnn.com/2011/WORLD/asiapcf/08/19/pakistan.drone.strike/  http://www.dawn.com/2011/08/19/drone-strike-kills-four-in-south-waziristan.html  http://tribune.com.pk/story/235078/us-drone-attack-kills-4-in-s-waziristan/  http://thenews.com.pk/NewsDetail.aspx?ID=21048&title=Drone-attack-in-S-Waziristan-kills-four,69.9,33.0333,22.725,72.905
260,"Monday, August 22, 2011",,Norak area of North Waziristan ,North Waziristan,FATA,,,,,,,4,5,,,N,,,http://www.cnn.com/2011/WORLD/asiapcf/08/22/pakistan.drone.strike/index.html  http://www.dailytimes.com.pk/default.asp?page=2011\08\23\story_23-8-2011_pg7_3  http://www.dawn.com/2011/08/22/us-drone-attack-kills-three-militants-in-north-waziristan.html  http://tribune.com.pk/story/237069/drone-strike-kills-5-in-n-waziristan-2/,70.1455,32.9746,26.36,79.448
261,"Monday, August 22, 2011",,Khaisura village in Mir ali ,North Waziristan,FATA,,,,,,,,6,,,,,,http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=8444&Cat=13,70.1455,32.9746,26.36,79.448
262,"Sunday, September 11, 2011",,HisoKhel Village,North Waziristan,FATA,,,,4,,,,4,,,N,,,http://www.dailytimes.com.pk/default.asp?page=2011\09\12\story_12-9-2011_pg1_5  http://www.dawn.com/2011/09/12/drone-kills-4-in-n-waziristan.html,70.1455,32.9746,24.065,75.317
