"S.","Date","Time","Location","City","Province","No.of.Strike","Al.Qaeda","Taliban","Civilians.Min","Civilians.Max","Foreigners.Min","Foreigners.Max","Total.Died.Min","Total.Died.Mix","Injured.Min","Injured.Max","Women.Children","Longitude","Latitude","Year","Tenure","Count","Total.Terrorists.killed"
308,2012-07-23,"23:00","Dray Nashtar Village- 65km West of Miranshah","North Waziristan","FATA",8,0,0,10,12,0,0,10,12,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
309,2012-07-29,"18:30","Khushali Turkhel Village- 35km East of Miranshah","North Waziristan","FATA",6,0,0,0,0,0,7,0,7,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
310,2012-08-18,"13:30","Shuwedar Village","North Waziristan","FATA",2,0,6,0,6,0,0,6,12,0,3,"N",70.1455,32.9746,"2012","Barack Obama",1,6
311,2012-08-19,"6:45","Mana- Shawal Area","North Waziristan","FATA",1,0,0,4,7,0,0,4,7,0,4,"N",70.1455,32.9746,"2012","Barack Obama",1,0
312,2012-08-19,"","Mana- Shawal Area","North Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
313,2012-08-21,"","Shna Khora- 5km West of Miranshah","North Waziristan","FATA",1,0,0,3,6,0,0,3,6,3,4,"N",70.1455,32.9746,"2012","Barack Obama",1,0
314,2012-08-24,"","Makki Gharr- Shawal Area","North Waziristan","FATA",1,0,6,0,0,0,0,5,6,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,6
315,2012-08-24,"","Tonda Darra- Shawal Area","North Waziristan","FATA",1,0,6,0,0,0,0,4,6,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,6
316,2012-08-24,"","Darra Nishtar- Shawal Area","North Waziristan","FATA",1,0,8,0,0,0,0,5,8,0,14,"N",70.1455,32.9746,"2012","Barack Obama",1,8
317,2012-09-01,"9:00","Degan Area- Datta Khel","North Waziristan","FATA",4,0,0,4,6,0,0,4,6,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
318,2012-09-22,"","Datta Khel","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
319,2012-09-24,"","Kaderkhail Village- 40km East of Miranshah","North Waziristan","FATA",2,0,0,5,6,0,0,5,6,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
320,2012-10-01,"","Khaiderkhel Area- 30 km East of Miranshah","North Waziristan","FATA",4,0,0,0,3,0,0,0,3,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
321,2012-10-10,"4:00","Hurmaz village of Mir ali Tehsil","North Waziristan","FATA",4,0,0,0,5,0,0,0,5,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
322,2012-10-11,"16:40","Bulandkhel Area- Orakzai","North Waziristan","FATA",4,0,0,17,18,0,0,17,18,15,20,"N",70.1455,32.9746,"2012","Barack Obama",1,0
